people,images,n_neighbors,duration
7,14,6,42.6325922820015
7,14,7,42.70212444599929
7,14,8,42.62283702500099
7,14,9,42.669970442000704
7,15,1,45.696760132001145
7,15,2,45.72953694399985
7,15,3,45.65371489300014
7,15,4,45.58368332600185
7,15,5,45.609568920997845
7,15,6,45.55964086899985
7,15,7,45.58180083900152
7,15,8,45.59962707500017
7,15,9,45.612445433001994
8,1,1,3.498849743999017
8,1,2,3.500560664000659
8,1,3,3.4906585839999025
8,1,4,3.4917460039978323
8,1,5,3.495998236001469
8,1,6,3.492240733001381
8,1,7,3.4927860110001347
8,1,8,3.483056585999293
8,1,9,3.4930532250000397
8,2,1,6.997585375997005
8,2,2,6.969161019002058
8,2,3,6.9901572310009215
8,2,4,6.974566533997859
8,2,5,6.982325822998973
8,2,6,6.981759493002755
8,2,7,6.9766308090001985
8,2,8,6.979067309999664
8,2,9,6.993139619000431
8,3,1,10.47510808199877
8,3,2,10.471433321003133
8,3,3,10.43200957999943
8,3,4,10.47149925100166
8,3,5,10.441228132000106
8,3,6,10.485883532001026
8,3,7,10.447145006000937
8,3,8,10.482557256000291
8,3,9,10.448522525999579
8,4,1,13.976073858000746
8,4,2,13.95332688200142
8,4,3,13.956946217000223
8,4,4,13.957603118997213
8,4,5,13.964582190001238
8,4,6,13.945484438001586
8,4,7,13.959263196000393
8,4,8,13.967643325002427
8,4,9,13.966361746002804
8,5,1,17.46017559699976
8,5,2,17.443276117002824
8,5,3,17.438612252000894
8,5,4,17.453957526999147
8,5,5,17.438802553999267
8,5,6,17.42547347099753
8,5,7,17.42279409999901
8,5,8,17.435359055001754
8,5,9,17.463791065001715
